Fornavne til mænd pr. 1. januar 2015

Navn	ANTAL

PETER	49550
JENS	48506
LARS	45507
MICHAEL	45322
HENRIK	42775
THOMAS	42134
SØREN	41616
JAN	38903
NIELS	38050
CHRISTIAN	37528
MARTIN	37151
JØRGEN	35608
HANS	35400
ANDERS	34613
MORTEN	34230
JESPER	34092
OLE	32746
PER	32576
MADS	31055
ERIK	30769
RASMUS	30274
KIM	29626
JOHN	27678
MIKKEL	27605
POUL	25938
BENT	23327
FREDERIK	22433
JONAS	22226
CLAUS	22041
MATHIAS	21636
FLEMMING	21326
TORBEN	21122
SIMON	20159
EMIL	19925
JACOB	19918
ANDREAS	19665
KASPER	19467
DANIEL	19353
CARSTEN	18896
BRIAN	18507
HENNING	18081
SVEND	17748
ALLAN	17494
BJARNE	17184
FINN	17174
LASSE	16385
KRISTIAN	16372
JAKOB	16082
KNUD	15992
LEIF	15943
KURT	15129
OLIVER	15109
MAGNUS	15053
STEEN	14815
MOGENS	14503
TOBIAS	14291
KENNETH	14122
SEBASTIAN	14088
ARNE	12965
ALEXANDER	12666
PREBEN	12181
CASPER	11552
DENNIS	11487
BO	11356
FRANK	11217
JEPPE	10574
BENJAMIN	10275
KAJ	10196
WILLIAM	9841
JØRN	9763
NICOLAI	9587
NIKOLAJ	9524
TOMMY	9424
KARSTEN	9393
RENÉ	9372
KLAUS	9361
CARL	9043
JOHNNY	8945
VICTOR	8722
KARL	8334
PATRICK	8249
LUCAS	8204
MARCUS	8031
DAVID	7834
BENNY	7820
NOAH	7495
PALLE	7434
GUSTAV	7369
IB	7360
000	7184
NICKLAS	7137
ANTON	7091
GERT	7054
JOHANNES	6998
KJELD	6934
STEFFEN	6875
DAN	6621
TOM	6601
OVE	6600
ERLING	6424
JOHAN	6412
RUNE	6101
BØRGE	6066
MARK	6043
CHRISTOFFER	6001
BJØRN	5470
RENE	5454
PHILIP	5366
PEDER	5356
MIKAEL	5351
STEFAN	5314
MALTHE	5303
JONATHAN	5273
ASGER	5271
LUKAS	5211
ALEX	5074
KELD	5066
VAGN	5064
STIG	5026
EGON	4914
ROBERT	4688
ADAM	4687
OSCAR	4627
ELIAS	4625
GUNNAR	4617
AKSEL	4413
TROELS	4350
IVAN	4331
MOHAMMAD	4266
MARIUS	4251
ULRIK	4220
MIKE	4198
ALI	4174
KRISTOFFER	4146
VIKTOR	4039
AUGUST	4007
AAGE	4000
TAGE	3996
VALDEMAR	3905
HELGE	3838
VILLY	3802
KENT	3750
MAX	3735
OSKAR	3698
HOLGER	3649
SILAS	3533
ESBEN	3491
JIMMY	3364
NICOLAJ	3319
ALBERT	3313
VIGGO	3285
LEO	3241
ALFRED	3239
KEVIN	3192
NIKLAS	3171
TONNY	3143
VERNER	3115
THOR	3058
SUNE	3003
HENRY	2941
OTTO	2919
UFFE	2863
SVEN	2828
MARC	2809
FREDE	2799
TIM	2792
PAUL	2771
VILLADS	2756
LAURITS	2743
BJARKE	2714
JULIUS	2663
CHRISTOPHER	2621
MARKUS	2611
MALTE	2594
ASBJØRN	2585
KAI	2575
EBBE	2564
BERTRAM	2543
JON	2527
NICK	2468
AHMAD	2404
JES	2377
FELIX	2375
AXEL	2329
JOACHIM	2329
FREDDY	2323
MOHAMED	2304
NILS	2289
ERNST	2285
BIRGER	2270
JIMMI	2263
CHRIS	2149
THEIS	2127
HJALTE	2105
BRUNO	2104
BASTIAN	2098
JACK	2071
ORLA	2069
STEN	2049
SIGURD	2028
HARRY	2008
PHILLIP	1974
MARCO	1936
NIKOLAI	1913
RONNI	1887
EJVIND	1883
JANNIK	1874
DANNY	1868
LIAM	1863
THORKILD	1842
MUSTAFA	1789
TRISTAN	1764
HUGO	1762
MOHAMMED	1749
RICHARD	1747
NICLAS	1723
SAMUEL	1723
AHMED	1660
SANDER	1617
STORM	1605
LOUIS	1604
EIGIL	1601
IBRAHIM	1591
WILLY	1589
FILIP	1584
THEODOR	1553
ROLF	1546
LEON	1528
ASKE	1511
MOHAMAD	1510
PEER	1508
JIM	1503
JOAKIM	1497
ARTHUR	1485
LENNART	1439
NICHOLAS	1437
SOFUS	1437
ANKER	1434
ADRIAN	1427
GEORG	1422
HARALD	1413
NICOLAS	1384
MUHAMMAD	1383
ANDRÉ	1373
JANNICK	1373
MEHMET	1361
PAW	1333
SYLVESTER	1333
DANNI	1327
EJNER	1310
JANUS	1305
KEN	1303
KENN	1291
GABRIEL	1277
HEINE	1272
MATIAS	1261
LAUGE	1254
HASSAN	1241
EJNAR	1233
GLENN	1223
FRODE	1193
LUDVIG	1193
PELLE	1168
GUNNER	1150
NICHLAS	1150
RONNIE	1148
JESS	1144
FRITS	1138
OMAR	1133
NICKI	1129
STEVEN	1129
ROBIN	1124
TORSTEN	1114
THORBJØRN	1112
BENDT	1102
TOMAS	1100
HARDY	1072
POVL	1057
TOKE	1057
ABDUL	1045
TONY	1023
JULIAN	994
LAU	992
