Fornavne til mænd pr. 1. januar 2013

Navn	ANTAL

PETER	50080
JENS	49977
LARS	45996
MICHAEL	45529
HENRIK	43106
SØREN	42218
THOMAS	42185
JAN	39440
NIELS	39326
CHRISTIAN	37364
JØRGEN	37265
MARTIN	37225
HANS	37162
ANDERS	34851
MORTEN	34362
JESPER	34244
OLE	33685
PER	33223
ERIK	32174
MADS	30572
RASMUS	30122
KIM	29831
JOHN	28503
POUL	27409
MIKKEL	26929
BENT	24540
CLAUS	22233
JONAS	21921
FLEMMING	21831
FREDERIK	21653
TORBEN	21493
MATHIAS	21080
SIMON	19856
JACOB	19801
ANDREAS	19440
KASPER	19371
SVEND	19150
EMIL	19083
CARSTEN	19069
HENNING	18968
DANIEL	18856
BRIAN	18613
FINN	17700
ALLAN	17688
BJARNE	17605
KNUD	17202
LEIF	16670
KRISTIAN	16531
LASSE	16344
JAKOB	15973
KURT	15770
MOGENS	15096
STEEN	15073
MAGNUS	14253
OLIVER	14218
KENNETH	14190
TOBIAS	13826
ARNE	13805
SEBASTIAN	13371
PREBEN	12701
ALEXANDER	11924
DENNIS	11516
CASPER	11493
BO	11455
FRANK	11410
KAJ	10917
JEPPE	10364
JØRN	10103
BENJAMIN	9695
TOMMY	9564
NICOLAI	9494
KARSTEN	9487
KLAUS	9437
NIKOLAJ	9362
RENÉ	9321
JOHNNY	9084
CARL	9002
WILLIAM	8618
KARL	8533
PATRICK	8141
BENNY	8089
VICTOR	8086
IB	7761
MARCUS	7706
PALLE	7631
LUCAS	7496
DAVID	7453
KJELD	7275
GUSTAV	7236
GERT	7203
JOHANNES	7086
000	7048
OVE	7014
NICKLAS	6946
STEFFEN	6917
ERLING	6777
BØRGE	6680
TOM	6678
DAN	6669
ANTON	6524
NOAH	6444
RUNE	6073
MARK	6003
JOHAN	5978
CHRISTOFFER	5881
RENE	5623
PEDER	5609
BJØRN	5421
EGON	5386
VAGN	5382
MIKAEL	5369
STEFAN	5263
KELD	5197
PHILIP	5175
STIG	5108
ALEX	5018
ASGER	5017
GUNNAR	5014
JONATHAN	4927
MALTHE	4761
LUKAS	4739
ROBERT	4681
AAGE	4442
TROELS	4378
TAGE	4351
IVAN	4308
AKSEL	4296
ULRIK	4239
MIKE	4163
HELGE	4124
VILLY	4117
ADAM	4112
OSCAR	4101
KRISTOFFER	4073
ALI	3880
ELIAS	3848
MOHAMMAD	3823
HOLGER	3805
KENT	3777
MARIUS	3686
VIKTOR	3616
MAX	3563
ESBEN	3454
AUGUST	3436
JIMMY	3394
VALDEMAR	3369
VERNER	3369
LEO	3298
OSKAR	3296
NICOLAJ	3290
SILAS	3252
VIGGO	3234
TONNY	3218
HENRY	3177
KEVIN	3098
NIKLAS	3094
SUNE	2991
FREDE	2972
ALBERT	2957
SVEN	2939
UFFE	2901
PAUL	2846
OTTO	2818
TIM	2788
THOR	2786
MARC	2774
ALFRED	2773
KAI	2710
BJARKE	2708
EBBE	2558
LAURITS	2557
CHRISTOPHER	2542
JON	2541
ASBJØRN	2525
MARKUS	2479
ERNST	2470
NICK	2463
JES	2426
JULIUS	2423
FREDDY	2404
MALTE	2404
BIRGER	2343
JOACHIM	2323
NILS	2311
AXEL	2277
JIMMI	2268
ORLA	2229
VILLADS	2225
HARRY	2211
BERTRAM	2210
CHRIS	2143
BRUNO	2137
STEN	2088
THEIS	2082
MOHAMED	2081
AHMAD	2033
EJVIND	2025
JACK	2012
THORKILD	1930
PHILLIP	1893
RONNI	1885
DANNY	1882
HJALTE	1879
JANNIK	1865
NIKOLAI	1858
BASTIAN	1850
RICHARD	1801
SIGURD	1799
MARCO	1792
FELIX	1737
WILLY	1706
NICLAS	1698
MUSTAFA	1681
HUGO	1653
EIGIL	1648
ROLF	1555
PEER	1550
MOHAMMED	1543
AHMED	1522
JIM	1517
LEON	1512
GEORG	1488
SAMUEL	1488
LOUIS	1485
HARALD	1481
JOAKIM	1469
ANKER	1467
LENNART	1457
IBRAHIM	1445
SANDER	1443
EJNER	1441
FILIP	1434
TRISTAN	1419
ASKE	1406
NICHOLAS	1383
EJNAR	1374
JANNICK	1359
MEHMET	1350
PAW	1339
ANDRÉ	1332
NICOLAS	1325
DANNI	1319
KEN	1313
JANUS	1308
KENN	1306
SOFUS	1302
HEINE	1281
FRODE	1249
THEODOR	1233
GUNNER	1230
GLENN	1227
MATIAS	1224
FRITS	1191
BENDT	1187
ARTHUR	1161
JESS	1157
MOHAMAD	1156
STORM	1155
RONNIE	1154
SYLVESTER	1150
NICHLAS	1142
TORSTEN	1131
HARDY	1129
HASSAN	1126
MUHAMMAD	1118
NICKI	1115
POVL	1115
ADRIAN	1112
STEVEN	1105
THORBJØRN	1098
LIAM	1091
GABRIEL	1066
TOMAS	1057
ROBIN	1051
PELLE	1045
TOKE	1034
TONY	1033
LAUGE	1018
LUDVIG	994
KENNY	988
OMAR	984
RUBEN	979
POUL-ERIK	978
LAU	974
TUE	969
ABDUL	967
TEDDY	964
TONNI	947
SONNY	939
GORM	929
STEPHAN	916
STEFFAN	912
KRESTEN	893
ALAN	880
JAMES	860
CLAES	859
ULRICH	859
KÅRE	858
ALF	853
EVALD	851
KENNET	846
LAURIDS	842
BERTIL	834
JONATAN	830
JULIAN	829
EJGIL	827
NIS	819
KRISTEN	818
CARLO	817
JOHNNI	811
KALLE	806
HERLUF	801
LUCA	801
LINUS	798
IAN	797
OLAV	794
CHRISTEN	790
HANS-HENRIK	788
LAUST	775
MATTHIAS	767
MAHMOUD	761
MALIK	758
VAN	752
OLUF	750
KENNI	749
HASAN	744
AHMET	742
KAARE	741
CHARLIE	739
ALEKSANDER	737
ULF	729
JEAN	709
OLAF	703
YUSUF	701
HEINRICH	697
MUHAMMED	697
ERLAND	693
MAGNE	691
WERNER	677
KIAN	676
MICHAL	673
HUSSEIN	669
AMIR	666
CHARLES	664
VITUS	660
SEAN	657
ISAK	656
FRITZ	643
ERIC	641
ELLIOT	626
STEPHEN	625
MICK	620
PIOTR	619
TOMASZ	619
SAMI	616
MICHEL	614
OSMAN	614
RONNY	612
KONRAD	610
INGOLF	609
DENIS	601
ANDREW	594
ISMAIL	591
KRZYSZTOF	588
ESKILD	587
LAURITZ	579
BILAL	576
TORE	569
GREGERS	568
ANDY	564
RALF	559
ADNAN	542
MARCIN	541
SAMIR	541
VILHELM	535
VINCENT	535
HASSE	533
ABDULLAH	529
IVAR	528
ANDRE	527
KLAVS	522
RYAN	522
JOSEF	515
RUDI	507
PAWEL	503
HEINO	501
DENIZ	496
THEO	494
WALTHER	492
MATTI	489
ELO	488
MATTIAS	486
BIRK	484
SVEND-ERIK	484
FRANS	480
MICKEY	479
NICKY	478
HAMZA	476
JEFF	476
RONALD	476
MURAT	474
ROLAND	474
HANS-JØRGEN	473
PIERRE	472
KASPAR	466
KHALED	462
JAMIE	460
CASPAR	459
YASIN	457
JOSEPH	456
ANDRZEJ	455
ASMUS	455
HELMER	451
JONNY	450
JASON	449
KRIS	449
GERHARD	447
IVER	444
JOSHUA	442
SAID	442
MARCEL	441
TOR	441
DITLEV	440
FOLMER	440
ANAS	439
RICO	435
TINO	434
EINAR	423
HERMAN	419
CONRAD	416
BERNT	414
FREJ	414
LUKASZ	414
DION	413
ELI	411
THORVALD	410
EDVARD	408
MAREK	408
RICKY	408
GRZEGORZ	406
KELL	403
GEORGE	400
BUSTER	399
VILLUM	395
KARLO	392
FREDRIK	391
GEERT	388
LUIS	388
THORSTEN	388
MIKAIL	387
THORKIL	387
EJLER	386
WALTER	384
HALFDAN	383
LOUIE	382
JUAN	380
UWE	379
KHALID	378
ANTHONY	377
BORIS	377
FREDDIE	375
YOUSSEF	375
LINDY	371
RAMAZAN	371
ROMAN	369
BERTEL	367
