Fornavne til kvinder pr. 1. januar 2015

Navn	ANTAL

ANNE	46690
KIRSTEN	43405
HANNE	39680
METTE	39007
ANNA	34995
HELLE	34346
SUSANNE	31593
LENE	31270
MARIA	28651
MARIANNE	27366
INGE	26186
KAREN	25974
LONE	25695
BENTE	24845
CAMILLA	24712
PIA	24424
LOUISE	23847
CHARLOTTE	23804
JETTE	23775
TINA	23320
GITTE	23297
INGER	22126
JULIE	21312
RIKKE	21036
BIRGIT	20774
ELSE	20591
BIRTHE	20060
IDA	19005
CHRISTINA	18691
JYTTE	18318
ULLA	18298
PERNILLE	18291
MARIE	18165
SOFIE	17860
EMMA	17810
LINE	17149
ANNETTE	17037
TOVE	16948
HEIDI	16404
LIS	16400
LAURA	15900
ANETTE	15582
KARIN	15459
EVA	15352
CECILIE	15267
BIRGITTE	15045
DORTHE	14770
GRETHE	14334
LISBETH	14130
SIGNE	13661
ELLEN	13189
TRINE	13137
BODIL	12712
MAJA	12584
DORTE	12465
KATRINE	12274
NANNA	12227
MATHILDE	11825
VIBEKE	11807
EMILIE	11674
SARA	11615
LISE	11582
KARINA	11580
STINE	11570
CAROLINE	11317
RUTH	11286
JANE	11184
MALENE	11097
SARAH	10573
ANJA	10516
LINDA	10168
AASE	9973
MIA	9673
INGRID	9541
ANNI	9407
NINA	9215
AMALIE	9142
FREJA	9052
MONA	8649
SONJA	8372
GERDA	8350
HENRIETTE	8238
LÆRKE	8152
LOTTE	8015
JEANETTE	7951
ANITA	7813
TINE	7780
ALICE	7599
MARGIT	7514
INGA	7493
ASTRID	7460
ISABELLA	7403
MICHELLE	7290
JONNA	7279
DITTE	7211
JOSEFINE	7134
JOHANNE	7104
RITA	6882
000	6756
LAILA	6736
MIE	6681
ELISABETH	6610
CLARA	6594
BRITTA	6577
ANN	6564
BETTINA	6539
CONNIE	6531
SIMONE	6529
HELENE	6337
JOAN	6232
BIRTE	6195
EDITH	6162
KRISTINA	6098
TANJA	5934
MERETE	5899
LENA	5844
VICTORIA	5780
KATHRINE	5703
SANNE	5679
LEA	5635
ALBERTE	5610
FREDERIKKE	5548
LISA	5471
